epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
87,2746.4,0.79184,0.55849,1.0904,0.86261,0.75183,0.87009,0.52983,1.45629,0.9627,1.66459,0.000480396,0.000480396,0.000480396
88,2777.36,0.79197,0.54683,1.09056,0.80303,0.68702,0.80242,0.49493,1.46984,1.16856,1.67056,0.000473064,0.000473064,0.000473064
89,2808.15,0.7791,0.53318,1.07304,0.8611,0.70321,0.83349,0.50438,1.50304,1.1243,1.71967,0.000465731,0.000465731,0.000465731
90,2839.05,0.77198,0.54231,1.08744,0.73173,0.78743,0.80872,0.48107,1.46618,1.0524,1.72664,0.000458399,0.000458399,0.000458399
91,2870.44,0.75614,0.51249,1.07473,0.83078,0.74127,0.82648,0.48008,1.48525,1.09786,1.76216,0.000451066,0.000451066,0.000451066
92,2902.12,0.74519,0.52034,1.0698,0.88169,0.74674,0.83995,0.51852,1.41052,0.97553,1.62135,0.000443733,0.000443733,0.000443733
93,2933.02,0.75,0.53137,1.05615,0.83963,0.83816,0.88438,0.54321,1.45774,0.94508,1.68227,0.000436401,0.000436401,0.000436401
94,2963.72,0.75074,0.53912,1.06321,0.86325,0.75852,0.84879,0.52895,1.429,1.0067,1.62796,0.000429068,0.000429068,0.000429068
95,2994.5,0.75479,0.52072,1.06388,0.87003,0.79209,0.84204,0.50769,1.42557,1.11962,1.67107,0.000421736,0.000421736,0.000421736
96,3026.42,0.76668,0.54704,1.08297,0.89407,0.70725,0.84081,0.52602,1.4869,1.09306,1.72308,0.000414403,0.000414403,0.000414403
97,3057.36,0.72216,0.51109,1.05358,0.68346,0.8596,0.82672,0.51937,1.39305,1.02256,1.6525,0.00040707,0.00040707,0.00040707
98,3088.17,0.74273,0.50331,1.06364,0.74545,0.77725,0.78986,0.5088,1.32775,1.05583,1.63082,0.000399738,0.000399738,0.000399738
99,3119.16,0.71796,0.49868,1.047,0.76719,0.82014,0.85544,0.52103,1.42472,1.09937,1.68866,0.000392405,0.000392405,0.000392405
100,3150.83,0.73426,0.51001,1.05779,0.82444,0.74591,0.82358,0.50589,1.44598,1.24821,1.68057,0.000385073,0.000385073,0.000385073
101,3182.7,0.71777,0.50932,1.05809,0.81763,0.79278,0.84723,0.49842,1.4309,1.14482,1.66188,0.00037774,0.00037774,0.00037774
102,3213.46,0.69149,0.48178,1.04313,0.74633,0.77934,0.78446,0.46423,1.52403,1.23232,1.71711,0.000370407,0.000370407,0.000370407
103,3244.83,0.71062,0.49729,1.04041,0.77605,0.81564,0.84946,0.52648,1.38238,1.05696,1.62457,0.000363075,0.000363075,0.000363075
104,3275.87,0.6955,0.49991,1.02482,0.81136,0.74341,0.84074,0.52185,1.41445,1.0868,1.69883,0.000355742,0.000355742,0.000355742
105,3308.09,0.6904,0.49581,1.03402,0.8502,0.76149,0.85813,0.52713,1.36401,1.10553,1.69165,0.00034841,0.00034841,0.00034841
106,3339.32,0.67678,0.47787,1.03744,0.85955,0.77932,0.85116,0.52437,1.38851,1.01164,1.68674,0.000341077,0.000341077,0.000341077
107,3370.12,0.67761,0.46833,1.03451,0.76882,0.79087,0.83615,0.52307,1.3996,0.98135,1.69762,0.000333744,0.000333744,0.000333744
108,3401.11,0.67455,0.46238,1.02211,0.86862,0.80627,0.88559,0.53361,1.38975,1.00879,1.7058,0.000326412,0.000326412,0.000326412
109,3432.71,0.66893,0.48997,1.02775,0.83468,0.79452,0.88481,0.54554,1.41171,1.02571,1.70331,0.000319079,0.000319079,0.000319079
110,3464.57,0.6742,0.47955,1.01831,0.83457,0.81427,0.86623,0.54913,1.36722,0.99954,1.67094,0.000311747,0.000311747,0.000311747
111,3495.84,0.65816,0.48462,1.02095,0.81526,0.86115,0.86731,0.52715,1.40204,0.94021,1.67943,0.000304414,0.000304414,0.000304414
112,3526.89,0.67851,0.47627,1.02737,0.81261,0.77579,0.84158,0.51754,1.41794,0.96144,1.70079,0.000297081,0.000297081,0.000297081
113,3557.77,0.65215,0.47198,1.01357,0.85501,0.79516,0.8922,0.54782,1.40732,0.93372,1.71474,0.000289749,0.000289749,0.000289749
114,3589.94,0.63275,0.44155,1.00249,0.88394,0.77649,0.88058,0.53992,1.38371,1.00337,1.70016,0.000282416,0.000282416,0.000282416
115,3621.13,0.66723,0.46047,1.01431,0.8091,0.84136,0.8576,0.54651,1.3649,0.9438,1.72971,0.000275084,0.000275084,0.000275084
116,3652.02,0.63777,0.44293,0.99901,0.82442,0.83162,0.8644,0.54293,1.39617,0.95757,1.71155,0.000267751,0.000267751,0.000267751
117,3683.11,0.62451,0.4344,0.9824,0.84851,0.8179,0.8732,0.54474,1.38172,0.9933,1.71482,0.000260418,0.000260418,0.000260418
118,3714.28,0.62974,0.44582,1.00632,0.79342,0.79107,0.82692,0.50934,1.38363,1.08237,1.70631,0.000253086,0.000253086,0.000253086
119,3745.98,0.61077,0.43875,0.9913,0.7427,0.82979,0.85974,0.51746,1.41155,1.05261,1.73695,0.000245753,0.000245753,0.000245753
120,3777.26,0.62989,0.44558,0.99134,0.81144,0.79508,0.84806,0.53402,1.38202,0.96368,1.73333,0.000238421,0.000238421,0.000238421
121,3808.35,0.63608,0.44768,1.00372,0.77787,0.84179,0.84472,0.50885,1.40239,0.9963,1.746,0.000231088,0.000231088,0.000231088
122,3839.62,0.64729,0.44592,0.99764,0.77125,0.83084,0.84297,0.53237,1.35868,1.01497,1.72377,0.000223755,0.000223755,0.000223755
123,3871.54,0.60804,0.4195,0.9848,0.76992,0.81119,0.84988,0.54179,1.35415,1.00922,1.72146,0.000216423,0.000216423,0.000216423
124,3902.68,0.59606,0.43381,0.98908,0.80336,0.80024,0.88164,0.55143,1.36778,1.04682,1.72105,0.00020909,0.00020909,0.00020909
125,3933.65,0.58357,0.4052,0.97531,0.82858,0.76852,0.84221,0.52467,1.40547,1.0866,1.79513,0.000201758,0.000201758,0.000201758
126,3964.66,0.59078,0.40447,0.96981,0.79659,0.8304,0.86388,0.52723,1.41542,1.07007,1.74435,0.000194425,0.000194425,0.000194425
127,3996.15,0.60451,0.42859,0.98728,0.80722,0.79675,0.86046,0.5233,1.40834,1.04366,1.73733,0.000187092,0.000187092,0.000187092
128,4028.05,0.58653,0.42072,0.97361,0.78233,0.81682,0.84517,0.50635,1.40072,1.00351,1.76701,0.00017976,0.00017976,0.00017976
129,4059.13,0.58081,0.42878,0.97155,0.73868,0.84044,0.84997,0.52109,1.37546,1.00212,1.74004,0.000172427,0.000172427,0.000172427
130,4090.28,0.57243,0.39709,0.94569,0.76157,0.77677,0.82064,0.52293,1.3518,1.0697,1.73683,0.000165095,0.000165095,0.000165095
