epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
61,2005.79,0.77052,0.56933,1.08858,0.74752,0.64026,0.73067,0.42906,1.55007,1.30558,1.79994,0.000730997,0.000730997,0.000730997
62,2040.85,0.78226,0.55419,1.09398,0.72293,0.6492,0.69346,0.4049,1.59033,1.55578,1.8065,0.000720007,0.000720007,0.000720007
63,2075.13,0.75443,0.54068,1.07977,0.80468,0.61138,0.69069,0.40889,1.62607,1.4576,1.82259,0.000708946,0.000708946,0.000708946
64,2106.01,0.75057,0.54606,1.0697,0.71621,0.67517,0.71786,0.41371,1.63382,1.54556,1.78856,0.000697821,0.000697821,0.000697821
65,2136.22,0.73711,0.54531,1.07488,0.7678,0.64837,0.7024,0.39246,1.5771,1.42126,1.79336,0.000686635,0.000686635,0.000686635
66,2169.22,0.71722,0.51689,1.05472,0.54069,0.7834,0.69287,0.41059,1.54321,1.42645,1.77485,0.000675395,0.000675395,0.000675395
67,2202.77,0.71198,0.52591,1.0589,0.61812,0.74947,0.68773,0.38699,1.55179,1.50315,1.80856,0.000664104,0.000664104,0.000664104
68,2239.48,0.70714,0.52206,1.06312,0.64904,0.69782,0.65488,0.38632,1.56867,1.47216,1.8344,0.000652769,0.000652769,0.000652769
69,2272.95,0.69237,0.50615,1.04831,0.80784,0.67199,0.74353,0.44139,1.49311,1.31264,1.71152,0.000641393,0.000641393,0.000641393
70,2303.94,0.69565,0.49874,1.03604,0.71873,0.67765,0.69756,0.39379,1.6058,1.45609,1.78063,0.000629981,0.000629981,0.000629981
71,2333.27,0.70939,0.51954,1.05452,0.76977,0.64444,0.71437,0.43397,1.49426,1.46359,1.76587,0.00061854,0.00061854,0.00061854
72,2364.19,0.67594,0.50338,1.02771,0.78716,0.69628,0.68891,0.40871,1.52624,1.44151,1.76799,0.000607073,0.000607073,0.000607073
73,2394.31,0.66457,0.47889,1.01685,0.75053,0.63806,0.69461,0.42202,1.59391,1.48853,1.83888,0.000595586,0.000595586,0.000595586
74,2428.06,0.67521,0.50759,1.03695,0.85114,0.68741,0.75045,0.44226,1.54623,1.36099,1.82753,0.000584084,0.000584084,0.000584084
75,2462.61,0.66844,0.48394,1.02934,0.77796,0.66133,0.70413,0.42701,1.49381,1.39445,1.83988,0.000572572,0.000572572,0.000572572
76,2498.47,0.66707,0.4852,1.02798,0.76673,0.67725,0.71011,0.41951,1.59004,1.38416,1.87461,0.000561055,0.000561055,0.000561055
77,2532.55,0.661,0.50522,1.02776,0.75724,0.6665,0.683,0.40883,1.5761,1.42932,1.82052,0.000549538,0.000549538,0.000549538
78,2564.78,0.66006,0.48816,1.03117,0.82195,0.60857,0.71415,0.4319,1.53604,1.35669,1.80023,0.000538026,0.000538026,0.000538026
79,2600.12,0.62108,0.45626,0.99769,0.76567,0.70529,0.77283,0.45115,1.61006,1.24895,1.89334,0.000526524,0.000526524,0.000526524
80,2635.77,0.6486,0.47657,1.01522,0.72066,0.73287,0.76205,0.45259,1.59711,1.2674,1.86672,0.000515037,0.000515037,0.000515037
81,2669.48,0.62285,0.45618,0.99772,0.72072,0.69369,0.68796,0.40554,1.56139,1.39223,1.83519,0.00050357,0.00050357,0.00050357
82,2700.36,0.62132,0.4567,0.99491,0.73275,0.71286,0.74857,0.44362,1.56965,1.30016,1.83791,0.000492129,0.000492129,0.000492129
83,2730.96,0.63156,0.47086,1.00539,0.8215,0.69511,0.74952,0.44665,1.55747,1.35165,1.84909,0.000480717,0.000480717,0.000480717
84,2764.44,0.61781,0.45538,0.99834,0.72577,0.72916,0.74053,0.43358,1.54155,1.38144,1.88398,0.000469341,0.000469341,0.000469341
85,2800.71,0.60966,0.44423,0.99574,0.72121,0.73656,0.70718,0.42832,1.52051,1.40637,1.82062,0.000458006,0.000458006,0.000458006
86,2837.13,0.63844,0.46128,1.01412,0.74027,0.69183,0.70985,0.42348,1.55595,1.50609,1.82482,0.000446715,0.000446715,0.000446715
87,2868.28,0.59905,0.43927,0.98721,0.74084,0.76568,0.75059,0.43602,1.56886,1.29516,1.8957,0.000435475,0.000435475,0.000435475
88,2899.59,0.56015,0.42375,0.97883,0.77376,0.74953,0.75933,0.45466,1.46744,1.27653,1.84948,0.000424289,0.000424289,0.000424289
89,2931.02,0.59374,0.43609,0.98914,0.70301,0.76698,0.75788,0.45603,1.50006,1.30342,1.79999,0.000413164,0.000413164,0.000413164
90,2967.79,0.58878,0.43185,0.98047,0.75574,0.76624,0.77407,0.46392,1.53881,1.27403,1.85365,0.000402103,0.000402103,0.000402103
91,3002.9,0.58398,0.42655,0.98181,0.8088,0.72115,0.77482,0.45554,1.54089,1.2778,1.86931,0.000391113,0.000391113,0.000391113
92,3038.21,0.56544,0.41644,0.96646,0.80836,0.7231,0.79988,0.46268,1.55584,1.20248,1.89831,0.000380196,0.000380196,0.000380196
